# Pathway	4367_Abundance	4368_Abundance	4369_Abundance	4370_Abundance	4371_Abundance	4372_Abundance	4373_Abundance	4374_Abundance	4375_Abundance	4376_Abundance	4377_Abundance	4378_Abundance	4379_Abundance	4380_Abundance	4381_Abundance	4382_Abundance	4383_Abundance	4384_Abundance	4385_Abundance	4386_Abundance	4387_Abundance	4388_Abundance	4389_Abundance	4390_Abundance	4391_Abundance	4392_Abundance	4393_Abundance	4394_Abundance	4395_Abundance	4396_Abundance	4397_Abundance	4398_Abundance	4399_Abundance	4400_Abundance	4401_Abundance	4402_Abundance	4403_Abundance	4404_Abundance	4405_Abundance	4406_Abundance	4408_Abundance	4409_Abundance	4410_Abundance	4412_Abundance	4413_Abundance	4414_Abundance	4416_Abundance	4417_Abundance	4418_Abundance	4419_Abundance	4421_Abundance	4422_Abundance	4423_Abundance	4424_Abundance	4425_Abundance	4426_Abundance	4427_Abundance	4428_Abundance	4429_Abundance	4430_Abundance	4431_Abundance	4432_Abundance	4433_Abundance	4434_Abundance	4435_Abundance	4436_Abundance	4437_Abundance	4438_Abundance
UNMAPPED	0.140089	0.602874	0.257675	0.252663	0.0996921	0.313132	0.431907	0.292963	0.260128	0.123882	0.140116	0.186358	0.297495	0.313812	0.137067	0.111719	0.293452	0.244237	0.270773	0.189202	0.297422	0.224314	0.174869	0.189544	0.289474	0.088283	0.273544	0.153312	0.340226	0.331222	0.270878	0.255215	0.30745	0.227538	0.162503	0.330821	0.315581	0.310695	0.111648	0.634648	0.143597	0.166964	0.330258	0.223143	0.100378	0.27459	0.222072	0.250715	0.334952	0.429942	0.398493	0.108666	0.295212	0.346912	0.349812	0.344597	0.359867	0.345411	0.347188	0.346058	0.302531	0.321069	0.324372	0.367397	0.350888	0.358023	0.567071	0.376532
UNINTEGRATED	0.828038	0.396321	0.704077	0.706793	0.854571	0.638071	0.532843	0.682264	0.69513	0.837244	0.815956	0.771529	0.656909	0.650318	0.848022	0.840056	0.670654	0.711512	0.682079	0.740282	0.657239	0.721532	0.770179	0.767565	0.652505	0.876372	0.679982	0.804961	0.634741	0.62968	0.674342	0.712352	0.654678	0.744316	0.819153	0.629946	0.639944	0.641131	0.857276	0.361726	0.836511	0.794062	0.627441	0.731512	0.855719	0.695173	0.745607	0.7004	0.622411	0.537124	0.585621	0.856114	0.657144	0.611324	0.604694	0.600076	0.593726	0.613012	0.610493	0.611019	0.651074	0.629752	0.627898	0.593199	0.612233	0.603625	0.40074	0.578281
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	3.22388e-05	0	0.000287602	0.000243331	0.000169842	0.0003224	0.000190988	0.000561031	0.000365515	0.00028869	0.000317591	0.000223734	0.000459763	0.000310252	9.56715e-05	0.00019521	0.000255636	0.000384705	0.000298221	0.000490875	0.00019059	0.000347923	0.000428557	0.000374574	0.000362991	9.9856e-05	0.000140232	0.000170748	0.000229169	0.000257492	0.000426798	0.000526894	0.000333153	0.000130446	6.24154e-05	0.000296648	0.000362337	0.000321416	0.000167566	4.47643e-05	9.13353e-05	3.94487e-05	0.000245222	0.000384627	5.61059e-05	0.000152579	0.000152092	0.000353313	0.000247931	0.000113376	0.000120458	0.000315726	0.000306551	0.000263516	0.000312929	0.000308725	0.000292518	0.000274497	0.000277527	0.000294509	0.000335098	0.000321342	0.000341743	0.000261707	0.000326176	0.000276493	0.000227401	0.000190295
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	3.18428e-07	0	0	0	0	1.05786e-05	0	0	0	6.71447e-06	7.63045e-06	0	0.000137115	5.27909e-06	0	1.04035e-05	1.58487e-05	0	2.53436e-06	4.89241e-06	0	1.67044e-06	3.48074e-08	1.57355e-05	0.000170892	9.18795e-07	0	5.18948e-06	0	0	0	0	1.72209e-06	0	7.39049e-08	3.97431e-05	0	0	0	8.74693e-06	0	0.000192331	0	2.62315e-05	1.33e-05	6.35016e-06	0	0	7.46291e-07	3.95759e-07	1.17917e-06	2.16475e-07	9.27885e-07	0	1.02204e-06	3.52846e-07	6.71749e-07	0	2.99269e-07	0	0	1.92202e-07	6.33687e-07	7.56548e-07	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0	0	0	3.79725e-07	0	0	0	0	0	0	0	0	0	0	0	0	4.4408e-06	4.58215e-07	0	0	0	0	0	0	0	0	0	0	3.45403e-06	0	0	0	2.65309e-06	0	0	1.84146e-06	5.91134e-07	0	0	0	0	0	2.04723e-07	0	0	0	0	0	0	0	0	0	0	0	4.0813e-07	0	6.29879e-07	0	3.95001e-07	3.31558e-07	0	0	2.1453e-07	0	0	0	3.70064e-07	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	3.0712e-05	0	2.69977e-05	0	0	2.40996e-05	0	0	2.5522e-07	4.01255e-07	1.1563e-06	0	8.30754e-05	2.09389e-05	7.29709e-07	0	1.31347e-05	1.8688e-07	2.93941e-07	1.17828e-05	1.09666e-05	1.48506e-06	0.00038106	9.46975e-07	3.07633e-05	8.09621e-08	0	1.90167e-06	1.88243e-06	0	0	0	9.14108e-06	0	4.56911e-06	2.28884e-05	0	0	0	0	0	0	9.00238e-06	2.68947e-05	6.59407e-07	8.14114e-08	3.30323e-05	0	0	4.12497e-07	7.04321e-07	0	1.4168e-07	0	8.45084e-07	2.67162e-07	0	0	3.48523e-07	0	1.06772e-07	2.5482e-07	4.99795e-07	2.01285e-07	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36434e-05	8.94581e-06	1.72096e-05	0	0	0	0	2.11522e-06	0	0	0	8.38095e-06	0	0	0	0	0	0	0	3.44927e-06	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	8.34454e-06	0	0	2.44564e-06	0	0	0	8.57732e-07	3.5522e-06	0	0	0	2.40984e-06	9.30291e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05141e-05	0	0	0	0	0	9.71718e-06	1.178e-06	1.19822e-06	4.10655e-08	0	0	0	4.57378e-07	0	5.54565e-07	0	4.87829e-07	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	6.67925e-06	0	0.000148037	0.00023753	0.00010751	0.000203752	1.05945e-05	3.12409e-05	8.18915e-05	0.000201635	0.000242216	0.000204209	0.000189231	9.82407e-05	0	0.000167355	0.000220229	0.000288776	0.000166295	0.000254139	1.80725e-05	0.000107101	0.000242227	0.000245516	0.000122541	7.40432e-05	0.00016268	0.000193328	0.000135064	0.000157423	0.00035626	3.33782e-06	0.000230067	5.00227e-06	7.73079e-05	0.000183584	0.000126556	0.00021678	9.08685e-05	0	5.5639e-05	8.53333e-06	0.000188583	0.000239933	0.000168004	0.000102493	0.000133533	0.000311321	0.000218844	0.000158651	8.32395e-05	9.74969e-06	0.000148166	0.00017653	0.000163445	9.53789e-05	0.000172125	0.00017548	0.000187057	0.00018346	0.000184452	0.000154288	0.000161804	8.11762e-05	0.000156773	0.00010432	0.000117378	0.000197573
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	3.27119e-05	0	0.000188464	0.000411926	0.000239466	0.000301897	0.000245862	0.000162296	0.000339152	0.00028123	0.000270199	0.000274033	0.000414685	0.000295005	0.000102311	0.000185975	0.000293405	0.000571334	0.000461443	0.000705019	0.000247386	0.00065946	0.000753827	0.000404341	0.000614091	0.000172632	0.000267632	0.000204217	0.000165185	0.000362112	0.000569835	0.000449105	0.000435782	0.000760934	0.000154415	0.000390588	0.0005494	0.000525316	0.000131441	0	9.87886e-05	3.40679e-05	0.000458139	0.000442825	0.000208436	0.00013673	0.000171651	0.000463756	0.000281292	0.000212365	0.000176263	0.000262932	0.000521253	0.000328444	0.000476329	0.000473213	0.000502858	0.000320062	0.000451773	0.000459766	0.000535625	0.000535754	0.000514864	0.000300666	0.000326622	0.000267598	0.000275794	0.000389344
