term	oddsratio	pvalue	qvalue	zscore	combined_score	shared	n_shared
SP7	27.586206896551722	9.571517153130281e-05	0.0003983485779587554	-8.376408519443832	77.51640469874266	['Pseudomonas', 'Salmonella', 'Azomonas', 'Sodalis']	4
SOCS3	29.41176470588235	1.2343682645806458e-05	0.00014392535484514837	-5.916119951378497	66.86615389211714	['Salmonella', 'Azomonas', 'Sodalis', 'Pseudomonas', 'Borrelia']	5
IFNAR1	53.333333333333336	1.0106452106762422e-05	0.00013128179201309572	-5.152460151306233	59.26533054367518	['Pseudomonas', 'Salmonella', 'Borrelia', 'Sodalis']	4
SREBF1	26.08695652173913	0.0007346525942784369	0.0019723658376661164	-7.948156661757978	57.35479527238403	['Pseudomonas', 'Salmonella', 'Sodalis']	3
SPN	66.66666666666667	0.0011246172397418454	0.002568841510316187	-8.32612029274406	56.53695897140672	['Salmonella', 'Borrelia']	2
GP6	19.51219512195122	0.0003179644463880391	0.0009621230071882784	-7.0032385157605175	56.401078513284816	['Pseudomonas', 'Salmonella', 'Azomonas', 'Sodalis']	4
TREM2	57.142857142857146	8.041455287458857e-06	0.00012166248823143636	-4.778852869694402	56.060247448037124	['Pseudomonas', 'Salmonella', 'Azomonas', 'Sodalis']	4
CBL	100.0	1.3636105334638875e-06	6.262868378694854e-05	-4.067101455815764	54.92772858298143	['Pseudomonas', 'Salmonella', 'Azomonas', 'Sodalis']	4
FLT3	57.142857142857146	8.041455287458857e-06	0.00012166248823143636	-4.58531878179259	53.78991832235731	['Pseudomonas', 'Salmonella', 'Azomonas', 'Sodalis']	4
XIAP	43.47826086956522	2.32200758603793e-06	7.465254389111944e-05	-3.9803458770061817	51.63733915203279	['Salmonella', 'Azomonas', 'Sodalis', 'Pseudomonas', 'Borrelia']	5
ULK1	66.66666666666667	4.858395677339774e-06	9.188083589792573e-05	-4.199047987364853	51.37452189842792	['Pseudomonas', 'Salmonella', 'Azomonas', 'Sodalis']	4
DCTD	75.0	5.146542064242484e-05	0.000270140942637381	-5.0433342919998125	49.800910916218406	['Pseudomonas', 'Salmonella', 'Sodalis']	3
TYROBP	33.333333333333336	0.04089027228801751	0.0557043327991425	-15.344297004826274	49.05361666907197	['Salmonella']	1
HP	27.586206896551722	9.571517153130281e-05	0.0003983485779587554	-5.220495043589472	48.311159321719764	['Pseudomonas', 'Salmonella', 'Azomonas', 'Sodalis']	4
FOXP3	14.285714285714286	0.00027138378535900216	0.0008491473186658802	-5.705183552059846	46.85083358168913	['Salmonella', 'Azomonas', 'Sodalis', 'Pseudomonas', 'Borrelia']	5
SQSTM1	33.333333333333336	0.003541838312588534	0.006163469648158125	-8.218641281386576	46.37869178214361	['Salmonella', 'Sodalis']	2
CXCL1	23.25581395348837	3.393414398900686e-05	0.00022494489262815887	-4.444960404663935	45.743482473107576	['Salmonella', 'Azomonas', 'Sodalis', 'Pseudomonas', 'Borrelia']	5
CD44	18.6046511627907	0.0003749117673124804	0.0010982608946784734	-5.760708429501976	45.445190990542194	['Pseudomonas', 'Salmonella', 'Azomonas', 'Sodalis']	4
SERPING1	90.9090909090909	1.1489256822863786e-07	6.262868378694854e-05	-2.824246961242069	45.129400036657074	['Salmonella', 'Azomonas', 'Sodalis', 'Pseudomonas', 'Borrelia']	5
CLU	50.0	0.00013820353863346397	0.0005034837129819678	-5.06953200745856	45.051831073724586	['Pseudomonas', 'Azomonas', 'Borrelia']	3
SPX	26.666666666666668	0.00521122158902302	0.008591834568568723	-8.199099262409511	43.10218091688486	['Pseudomonas', 'Azomonas']	2
