Group	肝酶正常	肝酶正常	肝酶异常	肝酶异常	肝酶异常	肝酶正常	肝酶正常	肝酶异常
SampleID	16453	16455	16456	16457	16461	16464	16465	16466
1CMET2-PWY	0.000432212127954082	0.000371274776612694	0.000418582674094967	0.000538485255581108	0.000315383504029435	0.000229746999323449	0.00022688092965144	0.000307300225985839
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	9.47136011049772e-06	1.99919013352649e-05	4.2637592906347e-06	1.96659120105459e-06	4.3089267017651e-06	2.84794961115869e-07	2.53568764775735e-07	1.02235160710176e-06
7ALPHADEHYDROX-PWY	9.64145336241348e-08	3.23376623160381e-07	0	0	0	0	0	0
AEROBACTINSYN-PWY	6.59055218329795e-06	5.3070523733989e-07	0	0	3.08355917642819e-08	8.90034946967959e-08	0	0
ALL-CHORISMATE-PWY	0	0	5.75399576805784e-06	5.41589529355269e-06	0	1.30197943024223e-06	0	0
ALLANTOINDEG-PWY	1.10256948001162e-06	8.51502160137054e-07	2.85516675329169e-06	1.59508351556891e-06	1.97309105742742e-06	0	5.1136637190622e-08	0
ANAEROFRUCAT-PWY	0.0002398179542788	0.000252014473284282	0.0002087463476496	0.000196342148562975	0.000130617094972065	0.000217976334434575	0.000200026109131191	0.00013090224742326
ANAGLYCOLYSIS-PWY	0.000400083413280288	0.000390802513876148	0.000393217422162857	0.000365550776362611	0.000508535501666059	0.000480033167422406	0.000541543523202077	0.000564888847223287
ARG+POLYAMINE-SYN	4.97907032888546e-05	6.86905760241787e-05	6.17416799952203e-05	4.73854821779711e-05	8.21662018099862e-05	4.45939334057926e-05	6.63710556722043e-05	9.79301997685914e-05
ARGDEG-PWY	1.15664495717445e-05	1.8152653215045e-05	8.00853530626065e-06	4.10334694537005e-06	3.75756576400007e-06	2.78066972870513e-07	0	1.60734544643545e-06
ARGININE-SYN4-PWY	0.000151144762817216	8.93126573563917e-05	0.000289537767255146	0.000418028204403492	8.29954047066963e-05	5.94602720323174e-05	3.39914696488706e-05	4.89418345216118e-05
ARGORNPROST-PWY	0	0	0	1.23738551110406e-06	3.15454139937793e-07	3.28408686642617e-06	2.87037424515269e-06	4.47168919549975e-06
ARGSYN-PWY	0.000307971420428047	0.00033616559828553	0.000370710279759954	0.00026540916575991	0.000428628873173998	0.000204029919492941	0.000283631854165606	0.000572599120402515
ARGSYNBSUB-PWY	0.000311017118814088	0.000312028384044855	0.000258645179640396	0.000166471083824783	0.000262265864496279	9.48186443477298e-05	0.000139366409152973	0.000391349915647631
ARO-PWY	0.000419869014751217	0.000441477816252449	0.000587705248856874	0.000491927327623983	0.000704109304667037	0.000639315191095001	0.000709530785419397	0.000741853182699739
ASPASN-PWY	0.000133746582877063	0.000121020646056135	0.000177445752602992	0.000217697472232135	0.000256996311092805	0.000283310713281432	0.000364426101058464	0.000305545143438316
AST-PWY	8.55464408245322e-06	1.56250416190818e-05	7.97541120004509e-06	4.833709385287e-06	4.8086174518682e-06	3.62883381080568e-07	3.98553088058646e-07	1.43386133980941e-06
BIOTIN-BIOSYNTHESIS-PWY	5.38989415836597e-05	7.40058009543059e-05	7.53394357924698e-05	2.12641265210942e-05	2.46879904815901e-05	1.18139300716502e-05	5.28442684028316e-06	6.8482806849972e-06
BRANCHED-CHAIN-AA-SYN-PWY	0.000199593401214552	0.000190270526726629	0.000361820824196265	0.000345154783538427	0.000544181434985075	0.000578269604059228	0.000613577926952842	0.000647103633755739
CALVIN-PWY	0.000277804603396923	0.000324210337845926	0.000427027903151749	0.000383512151727993	0.00056051401752254	0.000600575641728069	0.000619419055927572	0.000590655223523178
CATECHOL-ORTHO-CLEAVAGE-PWY	0	0	2.97587077711041e-06	4.27600471531634e-07	2.02647792595489e-06	0	0	0
CENTFERM-PWY	0	2.33720820276816e-07	1.34858355094927e-05	6.20791871974134e-06	4.17384047619445e-06	3.79914794498048e-05	2.48501245110245e-05	6.6702719667039e-06
CITRULBIO-PWY	9.11723303279609e-05	6.65538865776659e-05	2.86041508408627e-05	4.12856320696352e-05	2.67748626713956e-05	2.16867273320229e-05	1.8421790230766e-05	2.58469285957407e-05
COA-PWY-1	0.000520393044283095	0.000498530276502393	0.000547627039591283	0.000616510949554699	0.00060875720731581	0.000621624002592639	0.00071402135197808	0.000664915651190303
COA-PWY	0.000160563949324979	0.000162616295770724	0.000124922019706234	8.74073329542926e-05	0.000330230060756301	0.000259250072879207	0.000312156637882502	0.000321072868776297
COBALSYN-PWY	2.9129126999251e-05	4.2729416888206e-05	0.000190138450960767	0.000141571814049706	0.00025880962819401	0.000225565626398856	0.000256245935694529	0.000260867177773672
COLANSYN-PWY	7.41528614162509e-05	8.37832953382915e-05	5.90755790493079e-05	5.9453731543363e-05	4.57858886836191e-05	4.23558689309573e-05	2.38543829668475e-05	1.36439862823101e-05
COMPLETE-ARO-PWY	0.000426372818131628	0.000438975341393067	0.000567368127479608	0.000495608551915765	0.000666385254833468	0.000611800727878226	0.000675741280960179	0.000691898367059744
CRNFORCAT-PWY	0	0	6.70884719519818e-07	4.99845515109006e-07	9.09532987081434e-06	2.80983122935397e-06	3.83846088008919e-06	1.00881016299888e-05
DAPLYSINESYN-PWY	5.44780385313088e-05	9.37986322071563e-05	0.000155758515642391	6.37425969569618e-05	0.000172981062118947	0.000239133088150971	0.000323698849106053	0.00028389032668153
DENOVOPURINE2-PWY	0.000177057823753482	0.000159767846374717	0.000174953354328142	0.000129205507302604	0.000193290993145609	0.000230199275927092	0.000204170289469947	0.000209280137814386
DTDPRHAMSYN-PWY	0.000267728739208872	0.000210531621904678	0.000257570149420227	0.000303628455512627	0.000481802848718387	0.000421996746487806	0.000469860891691802	0.0005299820392974
ECASYN-PWY	1.66317334413434e-05	3.02636273857615e-05	6.9916374668925e-06	3.06362075770375e-06	5.11000739647287e-06	5.58252213123948e-07	3.44744856908151e-07	1.45173522722724e-06
