term	oddsratio	pvalue	qvalue	zscore	combined_score	shared	n_shared
ULK1	66.66666666666667	4.858395677339774e-06	9.188083589792573e-05	-18.403175221477984	225.15921019748916	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
XIAP	43.47826086956522	2.32200758603793e-06	7.465254389111944e-05	-10.593550107937238	137.4309561658124	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
IRF7	55.55555555555556	8.312224191666628e-07	6.262868378694854e-05	-9.735114054952904	136.29518343337702	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
HP	27.586206896551722	9.571517153130281e-05	0.0003983485779587554	-13.894645326896269	128.58290612319593	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
GNAS	85.71428571428571	3.767928945172861e-05	0.00022749092129071825	-10.731008004778273	109.31033957364679	['Pseudomonas', 'Azomonas', 'Salmonella']	3
UGT1A1	50.0	0.001788517950670151	0.0035826076083517355	-16.8531769225115	106.61939855056538	['Sodalis', 'Salmonella']	2
IRAK4	45.45454545454545	1.924395336204101e-06	6.613429677036158e-05	-7.844163923973041	103.23624718675798	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
INVS	44.44444444444444	0.0021745296240096457	0.004142881624409488	-15.4038644826244	94.44021362317854	['Sodalis', 'Salmonella']	2
H2AFX	75.0	5.146542064242484e-05	0.000270140942637381	-9.197480530602995	90.82144510721837	['Pseudomonas', 'Azomonas', 'Salmonella']	3
CXCR2	25.641025641025642	2.2285669401760393e-05	0.0001765642249682287	-8.37316209820542	89.6896844203525	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
FOLH1	160.0	3.554224873151019e-07	6.262868378694854e-05	-5.862318523664645	87.05518766938344	['Sodalis', 'Salmonella', 'Azomonas', 'Pseudomonas']	4
TRADD	72.72727272727273	3.672519900061991e-06	9.082424214384077e-05	-6.7233315767817	84.14002392794255	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
IFNAR1	53.333333333333336	1.0106452106762422e-05	0.00013128179201309572	-7.091043628265498	81.56357005929206	['Sodalis', 'Pseudomonas', 'Borrelia', 'Salmonella']	4
HAL	57.142857142857146	0.0014383502184264667	0.003077734410809378	-12.208789666284508	79.89747559514498	['Azomonas', 'Pseudomonas']	2
STAT2	54.54545454545455	0.00011129733488678356	0.00043241200200726184	-7.731483973598833	70.38205861067122	['Sodalis', 'Borrelia', 'Salmonella']	3
SP7	27.586206896551722	9.571517153130281e-05	0.0003983485779587554	-7.262182915023987	67.20521193905088	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
XPA	80.0	0.0008479178507379393	0.002125579641421033	-9.476861007057837	67.02724883392017	['Sodalis', 'Salmonella']	2
IPP	13.114754098360656	0.0012433854384070696	0.0028350951662969707	-9.94182044089288	66.50995782668238	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
CXCL8	22.22222222222222	4.126614122045985e-05	0.0002456863778218119	-6.21865113893192	62.78019494067375	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
SERPING1	90.9090909090909	1.1489256822863786e-07	6.262868378694854e-05	-3.7930731846717776	60.61053423036597	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
HIF1A	38.095238095238095	3.147729950666069e-05	0.00020973993350034012	-5.819122965850351	60.3224480790749	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
TYROBP	33.333333333333336	0.04089027228801751	0.0557043327991425	-18.818349263705432	60.1596860928964	['Salmonella']	1
IL17RA	40.0	0.00024299220450599773	0.0007677837223457325	-7.063690755532447	58.78743348276086	['Pseudomonas', 'Azomonas', 'Salmonella']	3
TTR	42.10526315789474	2.2379446866112968e-05	0.0001765642249682287	-5.423769760732193	58.07429644825725	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
UCP1	40.0	0.03516993593983473	0.050534678903494376	-17.25092288490849	57.748562446464376	['Sodalis']	1
CXCL2	26.31578947368421	1.9926543734128223e-05	0.0001697055314045622	-5.276362624833962	57.108488518920524	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
GP2	21.05263157894737	0.00024437814882366304	0.0007702703416353693	-6.843949236548714	56.91971418174924	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
FCGR2A	75.0	5.146542064242484e-05	0.000270140942637381	-5.709711393556795	56.381118522898376	['Pseudomonas', 'Azomonas', 'Salmonella']	3
SREBF1	26.08695652173913	0.0007346525942784369	0.0019723658376661164	-7.798909216394159	56.27780886684999	['Sodalis', 'Pseudomonas', 'Salmonella']	3
IL21	50.0	0.001788517950670151	0.0035826076083517355	-8.848954027979103	55.98173926510567	['Sodalis', 'Salmonella']	2
TNFSF13B	71.42857142857143	2.977172150704919e-07	6.262868378694854e-05	-3.7129443538918276	55.79486683347392	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
FDX1	66.66666666666667	6.816602401207851e-05	0.00031993250685960934	-5.776017316922708	55.412593521398016	['Sodalis', 'Azomonas', 'Pseudomonas']	3
IRAK2	100.0	1.3636105334638875e-06	6.262868378694854e-05	-4.007401690541361	54.12146089109215	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
CXCR1	50.0	1.2534712086047138e-05	0.00014392535484514837	-4.699054935395651	53.038274385978966	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
IL11	40.0	0.00024299220450599773	0.0007677837223457325	-6.343968580803706	52.79755921769692	['Sodalis', 'Azomonas', 'Pseudomonas']	3
SPN	66.66666666666667	0.0011246172397418454	0.002568841510316187	-7.730199551016361	52.49047089044178	['Borrelia', 'Salmonella']	2
STAT1	20.833333333333332	5.445788027371852e-05	0.00028353374102025106	-5.275355317707328	51.793876332635485	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
CHI3L1	66.66666666666667	4.858395677339774e-06	9.188083589792573e-05	-4.189604833562619	51.25898677873819	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
IAPP	57.142857142857146	0.0014383502184264667	0.003077734410809378	-7.812836029403141	51.129218624509	['Sodalis', 'Borrelia']	2
IRAK3	58.8235294117647	6.56362820425747e-07	6.262868378694854e-05	-3.5355777394703485	50.334436765736896	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
IRF8	53.333333333333336	1.0106452106762422e-05	0.00013128179201309572	-4.372895537972946	50.298516025442204	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
CXCL6	41.666666666666664	2.7809536403674015e-06	7.609162513856337e-05	-3.92694528954966	50.23629840097029	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
TRPA1	100.0	1.3636105334638875e-06	6.262868378694854e-05	-3.7184330848469322	50.218831631650055	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
FCN2	50.0	0.00013820353863346397	0.0005034837129819678	-5.507575751228556	48.94463078742461	['Pseudomonas', 'Azomonas', 'Salmonella']	3
DCD	100.0	1.3636105334638875e-06	6.262868378694854e-05	-3.6160922331301655	48.836680095201054	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
TSLP	42.10526315789474	2.2379446866112968e-05	0.0001765642249682287	-4.558338340766416	48.80780412725137	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
FANCD2	100.0	2.6551814345673096e-05	0.00018423823605874808	-4.481902348209018	47.22317181642365	['Sodalis', 'Azomonas', 'Pseudomonas']	3
ID1	44.44444444444444	0.0021745296240096457	0.004142881624409488	-7.588025163129263	46.52174901904162	['Azomonas', 'Pseudomonas']	2
IQGAP1	88.88888888888889	1.954201615298398e-06	6.613429677036158e-05	-3.535955924497225	46.48201054305191	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
TREM2	57.142857142857146	8.041455287458857e-06	0.00012166248823143636	-3.873236912086592	45.436556771485385	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
GBP1	46.15384615384615	0.00016897549470026185	0.000582580391915648	-5.1307539521619505	44.56448131299483	['Sodalis', 'Borrelia', 'Salmonella']	3
CXCL12	41.666666666666664	2.7809536403674015e-06	7.609162513856337e-05	-3.467117376223121	44.35385019665201	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
IL4	25.0	2.485352152131927e-05	0.00018423823605874808	-4.159077217025213	44.09666237732657	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
IGFBP3	36.36363636363637	0.003051761030059712	0.005504298295451317	-7.480907217611757	43.329687418742736	['Sodalis', 'Salmonella']	2
IRAK1	38.095238095238095	3.147729950666069e-05	0.00020973993350034012	-4.108190568266902	42.58650551080286	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
CD207	100.0	1.3636105334638875e-06	6.262868378694854e-05	-3.0942825057755083	41.789444271980784	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
SLC11A1	38.095238095238095	3.147729950666069e-05	0.00020973993350034012	-3.997512711819245	41.43919185404607	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
HPRT1	42.857142857142854	0.00020383374630290793	0.0006755932931586072	-4.758677785375264	40.44022346765925	['Sodalis', 'Borrelia', 'Salmonella']	3
FADD	29.41176470588235	1.2343682645806458e-05	0.00014392535484514837	-3.4772988896253114	39.30170527194887	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
IRF4	33.333333333333336	0.003541838312588534	0.006163469648158125	-6.95804935253851	39.26503363240639	['Sodalis', 'Salmonella']	2
STAT4	46.15384615384615	0.00016897549470026185	0.000582580391915648	-4.343312535371943	37.72495662894138	['Sodalis', 'Azomonas', 'Salmonella']	3
C1S	52.63157894736842	1.0406317918289203e-06	6.262868378694854e-05	-2.73239087486695	37.64054925948099	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
STAT6	43.47826086956522	2.32200758603793e-06	7.465254389111944e-05	-2.86522271269548	37.17075890722502	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
ILK	50.0	0.001788517950670151	0.0035826076083517355	-5.722411148420262	36.202078558177085	['Sodalis', 'Salmonella']	2
WT1	33.333333333333336	0.04089027228801751	0.0557043327991425	-11.258429428976108	35.99165744322384	['Sodalis']	1
SQSTM1	33.333333333333336	0.003541838312588534	0.006163469648158125	-6.327406113535786	35.70624484910211	['Sodalis', 'Salmonella']	2
SRL	66.66666666666667	0.0011246172397418454	0.002568841510316187	-5.247790218275339	35.6341356873911	['Sodalis', 'Pseudomonas']	2
CASP6	31.57894736842105	0.0004466816828359349	0.0012542197470022103	-4.597695319247239	35.46507841170192	['Sodalis', 'Borrelia', 'Pseudomonas']	3
FGFR2	66.66666666666667	0.0011246172397418454	0.002568841510316187	-5.190736911435846	35.24672590293501	['Sodalis', 'Salmonella']	2
CLU	50.0	0.00013820353863346397	0.0005034837129819678	-3.9637823662667295	35.22527391390906	['Azomonas', 'Borrelia', 'Pseudomonas']	3
FMR1	120.0	1.7819683726220423e-05	0.00016189636100199696	-3.206975884910644	35.06894477454595	['Sodalis', 'Azomonas', 'Pseudomonas']	3
CCL21	30.303030303030305	1.0856103706120545e-05	0.00013960949366071022	-2.998227617079608	34.272089523074435	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
SPX	26.666666666666668	0.00521122158902302	0.008591834568568723	-6.457512139456432	33.94676019888021	['Azomonas', 'Pseudomonas']	2
GP6	19.51219512195122	0.0003179644463880391	0.0009621230071882784	-4.093866556985517	32.97024492080671	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
CD27	42.10526315789474	2.2379446866112968e-05	0.0001765642249682287	-3.073778436838823	32.91207555483339	['Sodalis', 'Pseudomonas', 'Borrelia', 'Salmonella']	4
ADAM10	42.10526315789474	2.2379446866112968e-05	0.0001765642249682287	-3.0558167229701416	32.71975288223754	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
INHA	53.333333333333336	1.0106452106762422e-05	0.00013128179201309572	-2.823425595142166	32.47599132215551	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
CYP24A1	80.0	2.7144354936520054e-06	7.609162513856337e-05	-2.519696432343314	32.29476409535169	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
HLA-G	44.44444444444444	0.0021745296240096457	0.004142881624409488	-5.1966830403133075	31.860567003347384	['Azomonas', 'Pseudomonas']	2
SPARC	36.36363636363637	0.003051761030059712	0.005504298295451317	-5.470700169903821	31.68649489002356	['Sodalis', 'Salmonella']	2
IFIH1	40.0	0.03516993593983473	0.050534678903494376	-9.422761241903299	31.54329305316255	['Pseudomonas']	1
CDC25A	80.0	0.0008479178507379393	0.002125579641421033	-4.346855077480769	30.744118406538394	['Sodalis', 'Salmonella']	2
RAG1	28.571428571428573	1.3983822312840616e-05	0.0001591433229585224	-2.749987852388621	30.738290194126293	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
GALM	44.44444444444444	0.0021745296240096457	0.004142881624409488	-4.922062300795055	30.17688292947657	['Sodalis', 'Salmonella']	2
FGF7	66.66666666666667	6.816602401207851e-05	0.00031993250685960934	-3.0637851893866497	29.392620212366595	['Sodalis', 'Azomonas', 'Pseudomonas']	3
SP3	33.333333333333336	0.003541838312588534	0.006163469648158125	-5.204464084397672	29.36936014085202	['Azomonas', 'Pseudomonas']	2
CFTR	20.0	0.0002919101419554417	0.0008853689682893821	-3.605163731278731	29.342660272029963	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
EGR1	36.36363636363637	3.6912800683618665e-05	0.00022749092129071825	-2.8510050138499468	29.10007179876763	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
CCL27	44.44444444444444	0.0021745296240096457	0.004142881624409488	-4.720878902008535	28.943438998554697	['Azomonas', 'Pseudomonas']	2
HPR	12.244897959183673	0.005283722139967257	0.008700213408448005	-5.470965748922359	28.68495444125418	['Sodalis', 'Azomonas', 'Pseudomonas']	3
FOXP3	14.285714285714286	0.00027138378535900216	0.0008491473186658802	-3.487273051074041	28.637404542539315	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
IRF3	37.03703703703704	4.592031336980959e-06	9.188083589792573e-05	-2.323250994719708	28.55551492086831	['Pseudomonas', 'Sodalis', 'Borrelia', 'Salmonella', 'Azomonas']	5
CYP1A2	53.333333333333336	1.0106452106762422e-05	0.00013128179201309572	-2.4498827765329554	28.179376119517098	['Sodalis', 'Pseudomonas', 'Azomonas', 'Salmonella']	4
FYN	37.5	0.00028665828308085435	0.0008714953948982947	-3.443041011855983	28.08564197973298	['Sodalis', 'Azomonas', 'Pseudomonas']	3
